Nº;ID;Date;Time;Country;League;Home;Away;golshtHome;totalHome;golshtAway;totalAway;pHome;pAway;pSum;avgHome;sdHome;avgAway;sdAway;avgSum
1;CxiAy7Fm;01/12/2023;05:00;AUSTRALIA & OCEANIA;PACIFIC GAMES WOMEN - PLAY OFFS - FINAL;Papua New Guinea W;Fiji W;24;26;19;19;0,9231;1,0;1,9231;1,9615;0,9398;2,9474;1,8771;4,9089
2;4xyMXJag;01/12/2023;16:00;ENGLAND;PREMIER LEAGUE 2 - ROUND 9;Norwich U21;Blackburn U21;28;30;27;30;0,9333;0,9;1,8333;1,9667;1,1101;2,1333;1,3597;4,1
3;E3pSBY6F;01/12/2023;10:00;EUROPE;UEFA NATIONS LEAGUE WOMEN - LEAGUE C - ROUND 5;Georgia W;Luxembourg W;26;30;28;30;0,8667;0,9333;1,8;1,8333;1,3437;2,3333;1,3744;4,1666
4;UJzkmdf4;01/12/2023;11:00;ENGLAND;PROFESSIONAL DEVELOPMENT LEAGUE;Swansea U21;Colchester U21;29;30;25;30;0,9667;0,8333;1,8;2,4667;1,384;1,8;1,2754;4,2667
5;bTu8krjD;01/12/2023;09:00;EUROPE;UEFA NATIONS LEAGUE WOMEN - LEAGUE C - ROUND 5;Montenegro W;Faroe Islands W;27;30;26;30;0,9;0,8667;1,7667;1,6;1,0832;2,2667;1,7689;3,8667
6;l0NqCIl8;01/12/2023;16:00;GERMANY;OBERLIGA HESSEN - ROUND 20;Hunfelder;Friedberg;27;30;26;30;0,9;0,8667;1,7667;1,8667;1,2841;1,8333;1,2931;3,7
7;xKUHSBLJ;01/12/2023;15:30;GERMANY;OBERLIGA WESTFALEN - ROUND 16;Erkenschwick;Eintracht Rheine;28;30;25;30;0,9333;0,8333;1,7666;2,0;1,0;1,8;1,3266;3,8
8;tQvfeCs3;01/12/2023;15:00;GERMANY;OBERLIGA BAYERN NORD - ROUND 24;Feucht;Coburg;27;30;18;21;0,9;0,8571;1,7571;1,6667;1,075;1,9524;1,3265;3,6191
9;2BNi3gv1;01/12/2023;06:00;BHUTAN;PREMIER LEAGUE;Namlha;RTC;14;16;14;16;0,875;0,875;1,75;2,4375;1,2732;1,5;0,9354;3,9375
10;xQuALIZp;01/12/2023;15:30;GERMANY;OBERLIGA BREMEN - ROUND 17;Vatan Bremen;Oberneuland;27;30;25;30;0,9;0,8333;1,7333;1,7333;0,9978;1,9333;1,4817;3,6666
11;CKBJSdHk;01/12/2023;14:30;AUSTRIA;WIEN - ROUND 13;Schwechat;Sportunion Mauer;28;30;16;20;0,9333;0,8;1,7333;2,0;1,0954;1,85;1,74;3,85
12;E5BLH0Z5;01/12/2023;11:00;EUROPE;UEFA NATIONS LEAGUE WOMEN - LEAGUE C - ROUND 5;Kazakhstan W;Estonia W;24;30;28;30;0,8;0,9333;1,7333;1,8333;1,5293;1,7667;1,2297;3,6
13;AHxFN6qd;01/12/2023;15:00;GERMANY;OBERLIGA BADEN-WÜRTTEMBERG - ROUND 20;Nottingen;Offenburger;25;30;26;30;0,8333;0,8667;1,7;1,5667;1,0546;1,5333;0,9911;3,1
14;f7XMeGXB;01/12/2023;16:30;WALES;CYMRU NORTH - ROUND 15;Ruthin;Llandudno;23;30;28;30;0,7667;0,9333;1,7;1,4667;1,335;1,5667;0,8825;3,0334
